country,year,scenario,co2_projected
South Africa,2033,Moderate Mitigation,366.70811196546595
South Africa,2033,Aggressive Mitigation,277.20322812858456
South Africa,2034,BAU,476.7093060347572
South Africa,2034,Moderate Mitigation,359.3739497261566
South Africa,2034,Aggressive Mitigation,263.34306672215536
South Africa,2035,BAU,477.6440815042557
South Africa,2035,Moderate Mitigation,352.18647073163345
South Africa,2035,Aggressive Mitigation,250.17591338604754
South Africa,2036,BAU,478.5297842334965
South Africa,2036,Moderate Mitigation,345.14274131700074
South Africa,2036,Aggressive Mitigation,237.66711771674514
South Africa,2037,BAU,479.36899038532835
South Africa,2037,Moderate Mitigation,338.23988649066075
South Africa,2037,Aggressive Mitigation,225.78376183090788
South Africa,2038,BAU,480.16414088224053
South Africa,2038,Moderate Mitigation,331.4750887608475
South Africa,2038,Aggressive Mitigation,214.4945737393625
South Africa,2039,BAU,480.9175485060523
South Africa,2039,Moderate Mitigation,324.8455869856306
South Africa,2039,Aggressive Mitigation,203.76984505239434
South Africa,2040,BAU,481.63140462488997
South Africa,2040,Moderate Mitigation,318.34867524591795
South Africa,2040,Aggressive Mitigation,193.5813527997746
Australia,2025,BAU,425.56100346992906
Australia,2025,Moderate Mitigation,378.99736
Australia,2025,Aggressive Mitigation,367.3954
Australia,2026,BAU,426.5081431658047
Australia,2026,Moderate Mitigation,371.4174128
Australia,2026,Aggressive Mitigation,349.02563000000004
Australia,2027,BAU,427.3524320398056
Australia,2027,Moderate Mitigation,363.989064544
Australia,2027,Aggressive Mitigation,331.5743485
Australia,2028,BAU,428.1050387628324
Australia,2028,Moderate Mitigation,356.70928325311996
Australia,2028,Aggressive Mitigation,314.99563107499995
Australia,2029,BAU,428.7759191889372
Australia,2029,Moderate Mitigation,349.5750975880576
Australia,2029,Aggressive Mitigation,299.2458495212499
Australia,2030,BAU,429.3739480562856
Australia,2030,Moderate Mitigation,342.5835956362964
Australia,2030,Aggressive Mitigation,284.2835570451874
Australia,2031,BAU,429.90703638658385
Australia,2031,Moderate Mitigation,335.7319237235705
Australia,2031,Aggressive Mitigation,270.069379192928
Australia,2032,BAU,430.3822361359877
Australia,2032,Moderate Mitigation,329.0172852490991
Australia,2032,Aggressive Mitigation,256.5659102332816
Australia,2033,BAU,430.8058334818668
